Five-Year Age Groups,Gender,Deaths,Year
65-69 years,Male,314,2001
65-69 years,Male,345,2002
65-69 years,Male,381,2003
65-69 years,Male,332,2004
65-69 years,Male,338,2005
65-69 years,Male,381,2006
65-69 years,Male,373,2007
65-69 years,Male,410,2008
65-69 years,Male,404,2009
65-69 years,Male,409,2010
65-69 years,Male,406,2011
65-69 years,Male,466,2012
65-69 years,Male,443,2013
65-69 years,Male,536,2014
65-69 years,Male,540,2015
65-69 years,Male,566,2016
65-69 years,Male,591,2017
65-69 years,Male,633,2018
65-69 years,Male,643,2019
65-69 years,Male,686,2020
70-74 years,Female,895,1999
70-74 years,Female,874,2000
70-74 years,Female,906,2001
70-74 years,Female,881,2002
70-74 years,Female,883,2003
70-74 years,Female,848,2004
70-74 years,Female,817,2005
70-74 years,Female,825,2006
70-74 years,Female,768,2007
70-74 years,Female,767,2008
70-74 years,Female,770,2009
70-74 years,Female,778,2010
70-74 years,Female,763,2011
70-74 years,Female,767,2012
70-74 years,Female,845,2013
70-74 years,Female,827,2014
70-74 years,Female,871,2015
70-74 years,Female,909,2016
70-74 years,Female,920,2017
70-74 years,Female,888,2018
70-74 years,Female,986,2019
70-74 years,Female,1036,2020
70-74 years,Male,485,1999
70-74 years,Male,471,2000
70-74 years,Male,479,2001
70-74 years,Male,501,2002
70-74 years,Male,482,2003
70-74 years,Male,428,2004
70-74 years,Male,440,2005
70-74 years,Male,444,2006
70-74 years,Male,417,2007
70-74 years,Male,456,2008
70-74 years,Male,445,2009
70-74 years,Male,440,2010
70-74 years,Male,470,2011
70-74 years,Male,471,2012
70-74 years,Male,522,2013
70-74 years,Male,534,2014
70-74 years,Male,588,2015
70-74 years,Male,596,2016
70-74 years,Male,682,2017
70-74 years,Male,667,2018
70-74 years,Male,761,2019
70-74 years,Male,823,2020
75-79 years,Female,1268,1999
75-79 years,Female,1294,2000
75-79 years,Female,1271,2001
75-79 years,Female,1308,2002
75-79 years,Female,1239,2003
75-79 years,Female,1198,2004
75-79 years,Female,1144,2005
75-79 years,Female,1164,2006
75-79 years,Female,1112,2007
75-79 years,Female,1055,2008
75-79 years,Female,991,2009
75-79 years,Female,957,2010
75-79 years,Female,1004,2011
75-79 years,Female,931,2012
75-79 years,Female,927,2013
75-79 years,Female,903,2014
75-79 years,Female,968,2015
75-79 years,Female,954,2016
75-79 years,Female,933,2017
75-79 years,Female,976,2018
75-79 years,Female,1049,2019
75-79 years,Female,1093,2020
75-79 years,Male,608,1999
75-79 years,Male,626,2000
75-79 years,Male,614,2001
75-79 years,Male,595,2002
75-79 years,Male,644,2003
75-79 years,Male,605,2004
75-79 years,Male,600,2005
75-79 years,Male,551,2006
75-79 years,Male,536,2007
75-79 years,Male,545,2008
75-79 years,Male,523,2009
75-79 years,Male,525,2010
75-79 years,Male,545,2011
75-79 years,Male,595,2012
75-79 years,Male,538,2013
75-79 years,Male,570,2014
75-79 years,Male,590,2015
75-79 years,Male,638,2016
75-79 years,Male,669,2017
75-79 years,Male,664,2018
75-79 years,Male,752,2019
75-79 years,Male,811,2020
80-84 years,Female,1364,1999
80-84 years,Female,1460,2000
80-84 years,Female,1538,2001
80-84 years,Female,1506,2002
80-84 years,Female,1573,2003
80-84 years,Female,1616,2004
80-84 years,Female,1594,2005
80-84 years,Female,1496,2006
80-84 years,Female,1411,2007
80-84 years,Female,1396,2008
80-84 years,Female,1266,2009
80-84 years,Female,1202,2010
80-84 years,Female,1285,2011
80-84 years,Female,1309,2012
80-84 years,Female,1196,2013
80-84 years,Female,1080,2014
80-84 years,Female,1146,2015
80-84 years,Female,1062,2016
80-84 years,Female,1038,2017
80-84 years,Female,1076,2018
80-84 years,Female,1129,2019
80-84 years,Female,1114,2020
80-84 years,Male,557,1999
80-84 years,Male,605,2000
80-84 years,Male,626,2001
80-84 years,Male,630,2002
80-84 years,Male,619,2003
80-84 years,Male,657,2004
80-84 years,Male,681,2005
80-84 years,Male,569,2006
80-84 years,Male,647,2007
80-84 years,Male,638,2008
80-84 years,Male,552,2009
80-84 years,Male,648,2010
80-84 years,Male,659,2011
80-84 years,Male,637,2012
80-84 years,Male,630,2013
80-84 years,Male,604,2014
80-84 years,Male,590,2015
80-84 years,Male,587,2016
80-84 years,Male,641,2017
80-84 years,Male,646,2018
80-84 years,Male,763,2019
80-84 years,Male,755,2020
< 1 year,Female,2,2021
1-4 years,Female,7,2021
5-9 years,Female,6,2021
10-14 years,Female,10,2021
15-19 years,Female,15,2021
20-24 years,Female,52,2021
25-29 years,Female,73,2021
30-34 years,Female,94,2021
35-39 years,Female,130,2021
40-44 years,Female,181,2021
45-49 years,Female,246,2021
50-54 years,Female,306,2021
55-59 years,Female,485,2021
60-64 years ,Female,683,2021
65-69 years,Female,898,2021
70-74 years,Female,1157,2021
75-79 years,Female,1173,2021
80-84 years,Female,1163,2021
< 1 year,Female,5,2022
1-4 years,Female,7,2022
5-9 years,Female,1,2022
10-14 years,Female,11,2022
15-19 years,Female,10,2022
20-24 years,Female,40,2022
25-29 years,Female,43,2022
30-34 years,Female,89,2022
35-39 years,Female,114,2022
40-44 years,Female,162,2022
45-49 years,Female,216,2022
50-54 years,Female,315,2022
55-59 years,Female,477,2022
60-64 years ,Female,632,2022
65-69 years,Female,830,2022
70-74 years,Female,1192,2022
75-79 years,Female,1220,2022
80-84 years,Female,1281,2022
< 1 year,Male,12,2021
1-4 years,Male,8,2021
5-9 years,Male,7,2021
10-14 years,Male,5,2021
15-19 years,Male,1,2021
20-24 years,Male,22,2021
25-29 years,Male,25,2021
30-34 years,Male,55,2021
35-39 years,Male,96,2021
40-44 years,Male,146,2021
45-49 years,Male,187,2021
50-54 years,Male,236,2021
55-59 years,Male,419,2021
60-64 years ,Male,598,2021
65-69 years,Male,767,2021
70-74 years,Male,927,2021
75-79 years,Male,857,2021
80-84 years,Male,847,2021
< 1 year,Male,3,2022
1-4 years,Male,1,2022
5-9 years,Male,2,2022
10-14 years,Male,5,2022
15-19 years,Male,6,2022
20-24 years,Male,27,2022
25-29 years,Male,29,2022
30-34 years,Male,60,2022
35-39 years,Male,80,2022
40-44 years,Male,127,2022
45-49 years,Male,173,2022
50-54 years,Male,287,2022
55-59 years,Male,421,2022
60-64 years ,Male,662,2022
65-69 years,Male,827,2022
70-74 years,Male,914,2022
75-79 years,Male,1010,2022
80-84 years,Male,850,2022
