Five-Year Age Groups,Gender,Deaths,Year
50-54 years,Female,604,2019
50-54 years,Female,727,2020
50-54 years,Male,918,1999
50-54 years,Male,982,2000
50-54 years,Male,1106,2001
50-54 years,Male,1235,2002
50-54 years,Male,1308,2003
50-54 years,Male,1421,2004
50-54 years,Male,1518,2005
50-54 years,Male,1603,2006
50-54 years,Male,1245,2007
50-54 years,Male,1269,2008
50-54 years,Male,1227,2009
50-54 years,Male,1303,2010
50-54 years,Male,1335,2011
50-54 years,Male,1350,2012
50-54 years,Male,1406,2013
50-54 years,Male,1386,2014
50-54 years,Male,1446,2015
50-54 years,Male,1488,2016
50-54 years,Male,1552,2017
50-54 years,Male,1434,2018
50-54 years,Male,1447,2019
50-54 years,Male,1908,2020
55-59 years,Female,221,1999
55-59 years,Female,275,2000
55-59 years,Female,287,2001
55-59 years,Female,311,2002
55-59 years,Female,332,2003
55-59 years,Female,367,2004
55-59 years,Female,439,2005
55-59 years,Female,510,2006
55-59 years,Female,455,2007
55-59 years,Female,468,2008
55-59 years,Female,492,2009
55-59 years,Female,522,2010
55-59 years,Female,585,2011
55-59 years,Female,629,2012
55-59 years,Female,737,2013
55-59 years,Female,712,2014
55-59 years,Female,751,2015
55-59 years,Female,778,2016
55-59 years,Female,835,2017
55-59 years,Female,864,2018
55-59 years,Female,959,2019
55-59 years,Female,1065,2020
55-59 years,Male,739,1999
55-59 years,Male,776,2000
55-59 years,Male,801,2001
55-59 years,Male,937,2002
55-59 years,Male,981,2003
55-59 years,Male,1158,2004
55-59 years,Male,1269,2005
55-59 years,Male,1431,2006
55-59 years,Male,1244,2007
55-59 years,Male,1274,2008
55-59 years,Male,1290,2009
55-59 years,Male,1383,2010
55-59 years,Male,1416,2011
55-59 years,Male,1607,2012
55-59 years,Male,1657,2013
55-59 years,Male,1659,2014
55-59 years,Male,1801,2015
55-59 years,Male,1988,2016
55-59 years,Male,2089,2017
55-59 years,Male,2131,2018
55-59 years,Male,2136,2019
55-59 years,Male,2703,2020
60-64 years ,Female,251,1999
60-64 years ,Female,259,2000
60-64 years ,Female,284,2001
60-64 years ,Female,312,2002
60-64 years ,Female,395,2003
60-64 years ,Female,370,2004
60-64 years ,Female,451,2005
60-64 years ,Female,543,2006
60-64 years ,Female,522,2007
60-64 years ,Female,555,2008
60-64 years ,Female,572,2009
60-64 years ,Female,690,2010
60-64 years ,Female,803,2011
60-64 years ,Female,819,2012
60-64 years ,Female,898,2013
60-64 years ,Female,898,2014
60-64 years ,Female,922,2015
60-64 years ,Female,970,2016
60-64 years ,Female,978,2017
60-64 years ,Female,1056,2018
60-64 years ,Female,1097,2019
60-64 years ,Female,1313,2020
60-64 years ,Male,699,1999
60-64 years ,Male,666,2000
60-64 years ,Male,756,2001
60-64 years ,Male,794,2002
60-64 years ,Male,863,2003
60-64 years ,Male,949,2004
60-64 years ,Male,1059,2005
60-64 years ,Male,1183,2006
60-64 years ,Male,1086,2007
60-64 years ,Male,1197,2008
60-64 years ,Male,1207,2009
60-64 years ,Male,1390,2010
60-64 years ,Male,1481,2011
60-64 years ,Male,1711,2012
60-64 years ,Male,1833,2013
60-64 years ,Male,1844,2014
60-64 years ,Male,1888,2015
60-64 years ,Male,2235,2016
60-64 years ,Male,2304,2017
60-64 years ,Male,2385,2018
60-64 years ,Male,2443,2019
60-64 years ,Male,3085,2020
65-69 years,Female,361,1999
65-69 years,Female,393,2000
65-69 years,Female,443,2001
65-69 years,Female,430,2002
65-69 years,Female,491,2003
65-69 years,Female,510,2004
65-69 years,Female,617,2005
65-69 years,Female,776,2006
65-69 years,Female,716,2007
65-69 years,Female,845,2008
65-69 years,Female,931,2009
65-69 years,Female,1086,2010
65-69 years,Female,1190,2011
65-69 years,Female,1370,2012
65-69 years,Female,1402,2013
65-69 years,Female,1439,2014
65-69 years,Female,1373,2015
65-69 years,Female,1491,2016
65-69 years,Female,1497,2017
65-69 years,Female,1504,2018
65-69 years,Female,1535,2019
65-69 years,Female,1914,2020
65-69 years,Male,709,1999
65-69 years,Male,725,2000
65-69 years,Male,799,2001
65-69 years,Male,818,2002
65-69 years,Male,838,2003
65-69 years,Male,866,2004
65-69 years,Male,929,2005
65-69 years,Male,1196,2006
65-69 years,Male,1132,2007
65-69 years,Male,1263,2008
65-69 years,Male,1278,2009
65-69 years,Male,1588,2010
65-69 years,Male,1650,2011
65-69 years,Male,1848,2012
65-69 years,Male,1982,2013
65-69 years,Male,2006,2014
65-69 years,Male,2072,2015
65-69 years,Male,2267,2016
65-69 years,Male,2406,2017
65-69 years,Male,2426,2018
65-69 years,Male,2570,2019
65-69 years,Male,3127,2020
70-74 years,Female,832,1999
70-74 years,Female,905,2000
70-74 years,Female,952,2001
70-74 years,Female,1058,2002
70-74 years,Female,1114,2003
70-74 years,Female,1139,2004
70-74 years,Female,1315,2005
70-74 years,Female,1665,2006
70-74 years,Female,1614,2007
70-74 years,Female,1885,2008
70-74 years,Female,1926,2009
70-74 years,Female,2135,2010
70-74 years,Female,2432,2011
70-74 years,Female,2729,2012
70-74 years,Female,2937,2013
70-74 years,Female,2970,2014
70-74 years,Female,2675,2015
70-74 years,Female,2710,2016
70-74 years,Female,2982,2017
70-74 years,Female,2893,2018
70-74 years,Female,3070,2019
70-74 years,Female,3555,2020
70-74 years,Male,1046,1999
70-74 years,Male,1092,2000
70-74 years,Male,1138,2001
70-74 years,Male,1167,2002
70-74 years,Male,1227,2003
70-74 years,Male,1292,2004
70-74 years,Male,1353,2005
70-74 years,Male,1804,2006
70-74 years,Male,1634,2007
70-74 years,Male,1891,2008
70-74 years,Male,2115,2009
70-74 years,Male,2143,2010
70-74 years,Male,2504,2011
70-74 years,Male,2718,2012
70-74 years,Male,3017,2013
70-74 years,Male,2948,2014
70-74 years,Male,2884,2015
70-74 years,Male,2929,2016
70-74 years,Male,3124,2017
70-74 years,Male,3294,2018
70-74 years,Male,3329,2019
70-74 years,Male,3892,2020
75-79 years,Female,1953,1999
75-79 years,Female,2205,2000
75-79 years,Female,2569,2001
75-79 years,Female,2667,2002
75-79 years,Female,2935,2003
75-79 years,Female,2889,2004
75-79 years,Female,3217,2005
75-79 years,Female,4324,2006
75-79 years,Female,4186,2007
75-79 years,Female,4724,2008
75-79 years,Female,4904,2009
75-79 years,Female,5335,2010
75-79 years,Female,5966,2011
