Five-Year Age Groups,Gender,Deaths,Year
60-64 years ,Male,1774,2009
60-64 years ,Male,1948,2010
60-64 years ,Male,1909,2011
60-64 years ,Male,1902,2012
60-64 years ,Male,2053,2013
60-64 years ,Male,2097,2014
60-64 years ,Male,2329,2015
60-64 years ,Male,2423,2016
60-64 years ,Male,2434,2017
60-64 years ,Male,2567,2018
60-64 years ,Male,2691,2019
60-64 years ,Male,2959,2020
65-69 years,Female,1702,1999
65-69 years,Female,1732,2000
65-69 years,Female,1793,2001
65-69 years,Female,1704,2002
65-69 years,Female,1828,2003
65-69 years,Female,1821,2004
65-69 years,Female,1891,2005
65-69 years,Female,1921,2006
65-69 years,Female,2022,2007
65-69 years,Female,2028,2008
65-69 years,Female,2117,2009
65-69 years,Female,2156,2010
65-69 years,Female,2029,2011
65-69 years,Female,2182,2012
65-69 years,Female,2336,2013
65-69 years,Female,2562,2014
65-69 years,Female,2798,2015
65-69 years,Female,2902,2016
65-69 years,Female,2884,2017
65-69 years,Female,2926,2018
65-69 years,Female,2805,2019
65-69 years,Female,3217,2020
65-69 years,Male,1687,1999
65-69 years,Male,1742,2000
65-69 years,Male,1941,2001
65-69 years,Male,1793,2002
65-69 years,Male,1869,2003
65-69 years,Male,1889,2004
65-69 years,Male,1829,2005
65-69 years,Male,1973,2006
65-69 years,Male,2038,2007
65-69 years,Male,2199,2008
65-69 years,Male,2172,2009
65-69 years,Male,2367,2010
65-69 years,Male,2172,2011
65-69 years,Male,2347,2012
65-69 years,Male,2477,2013
65-69 years,Male,2791,2014
65-69 years,Male,3061,2015
65-69 years,Male,3202,2016
65-69 years,Male,3334,2017
65-69 years,Male,3386,2018
65-69 years,Male,3442,2019
65-69 years,Male,3721,2020
70-74 years,Female,2738,1999
70-74 years,Female,2737,2000
70-74 years,Female,2869,2001
70-74 years,Female,2739,2002
70-74 years,Female,2841,2003
70-74 years,Female,2732,2004
70-74 years,Female,2830,2005
70-74 years,Female,2722,2006
70-74 years,Female,2847,2007
70-74 years,Female,2876,2008
70-74 years,Female,2790,2009
70-74 years,Female,2913,2010
70-74 years,Female,2811,2011
70-74 years,Female,2789,2012
70-74 years,Female,3115,2013
70-74 years,Female,3213,2014
70-74 years,Female,3275,2015
70-74 years,Female,3585,2016
70-74 years,Female,3667,2017
70-74 years,Female,4004,2018
70-74 years,Female,4095,2019
70-74 years,Female,4446,2020
70-74 years,Male,2737,1999
70-74 years,Male,2625,2000
70-74 years,Male,2782,2001
70-74 years,Male,2846,2002
70-74 years,Male,2750,2003
70-74 years,Male,2646,2004
70-74 years,Male,2826,2005
70-74 years,Male,2823,2006
70-74 years,Male,2871,2007
70-74 years,Male,2846,2008
70-74 years,Male,2933,2009
70-74 years,Male,3058,2010
70-74 years,Male,2800,2011
70-74 years,Male,2903,2012
70-74 years,Male,3113,2013
70-74 years,Male,3275,2014
70-74 years,Male,3603,2015
70-74 years,Male,3683,2016
70-74 years,Male,4046,2017
70-74 years,Male,4286,2018
70-74 years,Male,4418,2019
70-74 years,Male,4684,2020
75-79 years,Female,4115,1999
75-79 years,Female,4304,2000
75-79 years,Female,4471,2001
75-79 years,Female,4435,2002
75-79 years,Female,4385,2003
75-79 years,Female,4436,2004
75-79 years,Female,4580,2005
75-79 years,Female,4364,2006
75-79 years,Female,4430,2007
75-79 years,Female,4173,2008
75-79 years,Female,4138,2009
75-79 years,Female,4048,2010
75-79 years,Female,3764,2011
75-79 years,Female,3661,2012
75-79 years,Female,3923,2013
75-79 years,Female,4037,2014
75-79 years,Female,4317,2015
75-79 years,Female,4332,2016
75-79 years,Female,4509,2017
75-79 years,Female,4686,2018
75-79 years,Female,4800,2019
75-79 years,Female,4903,2020
75-79 years,Male,3926,1999
75-79 years,Male,3989,2000
75-79 years,Male,3970,2001
75-79 years,Male,4117,2002
75-79 years,Male,4118,2003
75-79 years,Male,4119,2004
75-79 years,Male,4159,2005
75-79 years,Male,4161,2006
75-79 years,Male,4140,2007
75-79 years,Male,4003,2008
75-79 years,Male,3994,2009
75-79 years,Male,4012,2010
75-79 years,Male,3675,2011
