Year,Excess YPLL Rate,Excess YPLL Number,shortname
2009,-0.18725471007236227,-97.97110067318263,Eye and Adnexa
2010,0.53128532577179,394.9072940897568,Eye and Adnexa
2011,-0.36959315530645465,-196.39928949639392,Eye and Adnexa
2012,0.01738747385267958,14.675324909714972,Eye and Adnexa
2013,-0.4553062915200696,-311.60641721236067,Eye and Adnexa
2014,0.5970923139982238,251.10493952669867,Eye and Adnexa
2015,1.1762428388802604,861.615005575525,Eye and Adnexa
2016,-0.09093243598580993,-55.23718922080744,Eye and Adnexa
2017,0.3862956225688543,268.3524263925218,Eye and Adnexa
2018,-0.6771644794858795,-583.5780866915696,Eye and Adnexa
2019,0.05108798453728047,54.13472326904888,Eye and Adnexa
2020,0.4287770916877989,233.53559544875995,Eye and Adnexa
2021,-0.15218400336559368,-98.41897921200449,Eye and Adnexa
2022,-0.04942357212556736,-32.21350243053379,Eye and Adnexa
2000,0.155492814837082,161.76743816319686,Ear and Mastoid
2001,-1.1569047449243832,-881.7267604585247,Ear and Mastoid
2002,-0.4166458281196808,-444.9443377693205,Ear and Mastoid
2003,0.14325746355789448,123.18569758573842,Ear and Mastoid
2004,-1.2047484423219683,-942.3142580309274,Ear and Mastoid
2005,-0.6701141657027363,-737.1375237074428,Ear and Mastoid
2006,-0.3504186214802114,-355.357446060657,Ear and Mastoid
2007,-0.8937204587018357,-820.8836444587564,Ear and Mastoid
2008,-0.29767201242013397,-274.4002585801781,Ear and Mastoid
2009,-0.1813483451343361,-167.0960372385194,Ear and Mastoid
2010,-0.7256559561068163,-547.2141232582537,Ear and Mastoid
2011,0.37153986134488415,393.6473041979984,Ear and Mastoid
2012,0.369703123528641,311.17175089080524,Ear and Mastoid
2013,0.49664924148039,509.3634471628108,Ear and Mastoid
2014,0.21400422041797107,205.83833939707696,Ear and Mastoid
2015,0.1162206889740942,141.96427587923128,Ear and Mastoid
2016,0.06298899376858791,56.13898793799931,Ear and Mastoid
2017,-0.8073464936310366,-756.6492109308003,Ear and Mastoid
2018,-0.7740134080824381,-662.0633595937082,Ear and Mastoid
2019,0.5287112449347962,516.6287654676747,Ear and Mastoid
2020,0.29796307304789726,349.1039799886268,Ear and Mastoid
2021,-0.3158645839515086,-372.35167721810063,Ear and Mastoid
2022,0.17770875798774477,208.80606508356007,Ear and Mastoid
2000,2175.272519857398,2933954.237101472,Circulatory
2001,2016.277025442866,2753844.7712197886,Circulatory
2002,1998.781964078822,2756733.576635769,Circulatory
2003,1981.985007386873,2756097.9890331477,Circulatory
2004,1884.998781932085,2646475.5382231968,Circulatory
2005,1820.1640662276168,2579273.009505911,Circulatory
2006,1809.4815316613792,2588699.5769503773,Circulatory
2007,1770.644185989288,2555939.083041909,Circulatory
2008,1719.4704569078667,2505565.769351466,Circulatory
2009,1718.2105455012816,2526245.2572048283,Circulatory
2010,1721.8307338601012,2547919.853036185,Circulatory
2011,1701.699703434896,2541540.9874988715,Circulatory
2012,1694.1839565563814,2549938.229637087,Circulatory
2013,1740.7237401661446,2638816.958303142,Circulatory
2014,1728.3547765175622,2641094.803228571,Circulatory
